iter	Passed	Remaining
0	419	837634
1	789	789067
2	1175	782543
3	1529	763278
4	1828	729532
5	2153	715694
6	2463	701312
7	2780	692450
8	3086	682856
9	3404	677397
10	3723	673301
11	4058	672428
12	4406	673521
13	4713	668635
14	5057	669241
15	5371	666123
16	5677	662282
17	5997	660419
18	6310	657912
19	6650	658401
20	6985	658287
21	7314	657682
22	7613	654440
23	7952	654719
24	8248	651592
25	8540	648442
26	8885	649278
27	9204	648238
28	9512	646553
29	9829	645473
30	10140	644063
31	10448	642577
32	10776	642365
33	11100	641875
34	11396	639832
35	11703	638502
36	12052	639429
37	12382	639331
38	12735	640349
39	13093	641597
40	13381	639359
41	13743	640709
42	14058	639802
43	14371	638868
44	14684	637951
45	14985	636542
46	15316	636464
47	15628	635556
48	15927	634194
49	16232	633070
50	16539	632074
51	16830	630500
52	17110	628582
53	17382	626419
54	17671	624931
55	17970	623829
56	18272	622875
57	18567	621675
58	18895	621625
59	19179	620129
60	19453	618353
61	19740	617051
62	20028	615788
63	20306	614266
64	20597	613185
65	20885	612016
66	21159	610471
67	21428	608829
68	21684	606845
69	21967	605678
70	22281	605359
71	22586	604808
72	22932	605350
73	23217	604276
74	23516	603578
75	23815	602907
76	24153	603201
77	24460	602720
78	24729	601329
79	25007	600179
80	25320	599883
81	25650	599982
82	25976	599968
83	26286	599593
84	26562	598437
85	26887	598401
86	27163	597286
87	27483	597149
88	27789	596701
89	28084	596023
90	28385	595478
91	28676	594731
92	28981	594270
93	29275	593599
94	29537	592308
95	29831	591656
96	30146	591425
97	30446	590907
98	30715	589794
99	31033	589628
100	31365	589734
101	31651	588967
102	31933	588128
103	32198	586994
104	32481	586205
105	32808	586226
106	33109	585751
107	33405	585222
108	33682	584338
109	34004	584258
110	34291	583567
111	34633	583824
112	34944	583546
113	35198	582315
114	35496	581835
115	35800	581450
116	36080	580680
117	36413	580768
118	36753	580948
119	37064	580672
120	37346	579953
121	37635	579345
122	37950	579134
123	38223	578286
124	38504	577567
125	38825	577445
126	39183	577884
127	39527	578093
128	39803	577302
129	40110	576974
130	40407	576498
131	40674	575607
132	40944	574764
